"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AKZ7MUUC","journalArticle","2017","Ichinose, Genki; Sayama, Hiroki","Invasion of Cooperation in Scale-Free Networks: Accumulated versus Average Payoffs","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00220","https://direct.mit.edu/artl/article/23/1/25-33/2855","It is well known that cooperation cannot be an evolutionarily stable strategy for a non-iterative game in a well-mixed population. In contrast, structured populations favor cooperation, since cooperators can benefit each other by forming local clusters. Previous studies have shown that scale-free networks strongly promote cooperation. However, little is known about the invasion mechanism of cooperation in scale-free networks. To study microscopic and macroscopic behaviors of cooperators' invasion, we conducted computational experiments on the evolution of cooperation in scale-free networks where, starting from all defectors, cooperators can spontaneously emerge by mutation. Since the evolutionary dynamics are influenced by the definition of fitness, we tested two commonly adopted fitness functions: accumulated payoff and average payoff. Simulation results show that cooperation is strongly enhanced with the accumulated payoff fitness compared to the average payoff fitness. However, the difference between the two functions decreases as the average degree increases. As the average degree increases, cooperation decreases for the accumulated payoff fitness, while it increases for the average payoff fitness. Moreover, for the average payoff fitness, low-degree nodes play a more important role in spreading cooperative strategies than for the accumulated payoff fitness.","2017-02","2021-08-04 12:38:25","2021-08-04 12:38:25","2021-08-04 12:38:25","25-33","","1","23","","Artificial Life","Invasion of Cooperation in Scale-Free Networks","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\MJA97855\Ichinose and Sayama - 2017 - Invasion of Cooperation in Scale-Free Networks Ac.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHYWFURH","journalArticle","2017","Müller, Vincent C.; Hoffmann, Matej","What Is Morphological Computation? On How the Body Contributes to Cognition and Control","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00219","https://direct.mit.edu/artl/article/23/1/1-24/2858","The contribution of the body to cognition and control in natural and artificial agents is increasingly described as “offloading computation from the brain to the body,” where the body is said to perform “morphological computation.” Our investigation of four characteristic cases of morphological computation in animals and robots shows that the “offloading” perspective is misleading. Actually, the contribution of body morphology to cognition and control is rarely computational, in any useful sense of the word. We thus distinguish (1) morphology that facilitates control, (2) morphology that facilitates perception, and the rare cases of (3) morphological computation proper, such as reservoir computing, where the body is actually used for computation. This result contributes to the understanding of the relation between embodiment and computation: The question for robot design and cognitive science is not whether computation is offloaded to the body, but to what extent the body facilitates cognition and control—how it contributes to the overall orchestration of intelligent behavior.","2017-02","2021-08-04 12:38:18","2021-08-04 12:38:18","2021-08-04 12:38:18","1-24","","1","23","","Artificial Life","What Is Morphological Computation?","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\H5WJJSDT\Müller and Hoffmann - 2017 - What Is Morphological Computation On How the Body.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5R9LRTZ","journalArticle","2019","Channon, Alastair","Maximum Individual Complexity is Indefinitely Scalable in Geb","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00285","https://direct.mit.edu/artl/article/25/2/134-144/2925","Geb was the first artificial life system to be classified as exhibiting open-ended evolutionary dynamics according to Bedau and Packard's evolutionary activity measures and is the only one to have been classified as such according to the enhanced version of that classification scheme. Its evolution is driven by biotic selection, that is (approximately), by natural selection rather than artificial selection. Whether or not Geb can generate an indefinite increase in maximum individual complexity is evaluated here by scaling two parameters: world length (which bounds population size) and the maximum number of neurons per individual. Maximum individual complexity is found to be asymptotically bounded when scaling either parameter alone. However, maximum individual complexity is found to be indefinitely scalable, to the extent evaluated so far (with run times in years and billions of reproductions per run), when scaling both world length and the maximum number of neurons per individual together. Further, maximum individual complexity is shown to scale logarithmically with (the lower of) maximum population size and maximum number of neurons per individual. This raises interesting questions and lines of thought about the feasibility of achieving complex results within open-ended evolutionary systems and how to improve on this order of complexity growth.","2019-05","2021-08-04 11:25:46","2021-08-04 12:36:35","2021-08-04 11:25:46","134-144","","2","25","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\3KEBV46Q\Channon - 2019 - Maximum Individual Complexity is Indefinitely Scal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FNWHXQ35","journalArticle","2018","","Erratum","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_x_00270","https://direct.mit.edu/artl/article/24/3/227/2896","","2018-11","2021-08-04 12:35:48","2021-08-04 12:35:48","2021-08-04 12:35:48","227-227","","3","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FEAPE2I","journalArticle","2018","Wiser, Michael","<i>Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything</i>","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_r_00266","https://direct.mit.edu/artl/article/24/3/224-226/2899","","2018-11","2021-08-04 12:35:34","2021-08-04 12:35:34","2021-08-04 12:35:34","224-226","","3","24","","Artificial Life","<i>Soonish","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\R2PMRTEN\Wiser - 2018 - Soonish Ten Emerging Technologies That'll Impr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XDTDRLK","journalArticle","2018","Silverman, Eric","Bringing ALife and Complex Systems Science to Population Health Research","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00264","https://direct.mit.edu/artl/article/24/3/220-223/2901","Despite tremendous advancements in population health in recent history, human society currently faces significant challenges from wicked health problems. These are problems where the causal mechanisms at play are obscured and difficult to address, and consequently they have defied efforts to develop effective interventions and policy solutions using traditional population health methods. Systems-based perspectives are vital to the development of effective policy solutions to seemingly intractable health problems like obesity and population aging. ALife in particular is well placed to bring interdisciplinary modeling and simulation approaches to bear on these challenges. This article summarizes the current status of systems-based approaches in population health, and outlines the opportunities that are available for ALife to make a significant contribution to these critical issues.","2018-11","2021-08-04 12:35:26","2021-08-04 12:35:26","2021-08-04 12:35:26","220-223","","3","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\MB574GCR\Silverman - 2018 - Bringing ALife and Complex Systems Science to Popu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4X7M4QX","journalArticle","2018","Penn, Alexandra","Moving from Overwhelming to Actionable Complexity in Population Health Policy: Can ALife help?","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_e_00265","https://direct.mit.edu/artl/article/24/3/218-219/2898","","2018-11","2021-08-04 12:35:03","2021-08-04 12:35:03","2021-08-04 12:35:03","218-219","","3","24","","Artificial Life","Moving from Overwhelming to Actionable Complexity in Population Health Policy","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9WK7GM7","journalArticle","2018","McGregor, Simon; Mediano, Pedro A. M.","Measuring Fitness Effects of Agent-Environment Interactions","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00269","https://direct.mit.edu/artl/article/24/3/199-217/2903","One important sense of the term “adaptation” is the process by which an agent changes appropriately in response to new information provided by environmental stimuli. We propose a novel quantitative measure of this phenomenon, which extends a little-known definition of adaptation as “increased robustness to repeated perturbation” proposed by Klyubin (2002). Our proposed definition essentially corresponds to the average value (relative to some fitness function) of state changes that are caused by the environment (in some statistical ensemble of environments). We compute this value by comparing the agent's actual fitness with its fitness in a counterfactual world where the causal links between agent and environment are disrupted. The proposed measure is illustrated in a simple Markov chain model and also using a recent model of autopoietic agency in a simulated protocell.","2018-11","2021-08-04 12:34:50","2021-08-04 12:34:50","2021-08-04 12:34:50","199-217","","3","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\UW67HFPJ\McGregor and Mediano - 2018 - Measuring Fitness Effects of Agent-Environment Int.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9S4AYYKK","journalArticle","2018","McGregor, Simon; Mediano, Pedro A. M.","Adaptation Is Not Just Improvement over Time","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00268","https://direct.mit.edu/artl/article/24/3/182-198/2902","The idea that an agent's actions can impact its actual long-term survival is a very appealing one, underlying influential treatments such as Di Paolo's (2005). However, this presents a tension with understanding the agent and environment as possessing specific objective physical microstates. More specifically, we show that such an approach leads to undesirable outcomes, for example, all organisms being maladaptive on average. We suggest that this problematic intuition of improvement over time may stem from Bayesian inference. We illustrate our arguments using a recent model of autopoietic agency in a model protocell, showing the limitations of previous approaches in this model and specific instantiations of Bayesian inference by ignorant observers in certain scenarios.","2018-11","2021-08-04 12:34:36","2021-08-04 12:34:36","2021-08-04 12:34:36","182-198","","3","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDK6AP72","journalArticle","2018","Huizinga, Joost; Stanley, Kenneth O.; Clune, Jeff","The Emergence of Canalization and Evolvability in an Open-Ended, Interactive Evolutionary System","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00263","https://direct.mit.edu/artl/article/24/3/157-181/2904","Many believe that an essential component for the discovery of the tremendous diversity in natural organisms was the evolution of evolvability, whereby evolution speeds up its ability to innovate by generating a more adaptive pool of offspring. One hypothesized mechanism for evolvability is developmental canalization, wherein certain dimensions of variation become more likely to be traversed and others are prevented from being explored (e.g., offspring tend to have similar-size legs, and mutations affect the length of both legs, not each leg individually). While ubiquitous in nature, canalization is rarely reported in computational simulations of evolution, which deprives us of in silico examples of canalization to study and raises the question of which conditions give rise to this form of evolvability. Answering this question would shed light on why such evolvability emerged naturally, and it could accelerate engineering efforts to harness evolution to solve important engineering challenges. In this article, we reveal a unique system in which canalization did emerge in computational evolution. We document that genomes entrench certain dimensions of variation that were frequently explored during their evolutionary history. The genetic representation of these organisms also evolved to be more modular and hierarchical than expected by chance, and we show that these organizational properties correlate with increased fitness. Interestingly, the type of computational evolutionary experiment that produced this evolvability was very different from traditional digital evolution in that there was no objective, suggesting that open-ended, divergent evolutionary processes may be necessary for the evolution of evolvability.","2018-11","2021-08-04 12:33:47","2021-08-04 12:33:47","2021-08-04 12:33:47","157-181","","3","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\TZK79D6P\Huizinga et al. - 2018 - The Emergence of Canalization and Evolvability in .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCQWT9FB","journalArticle","2018","Lumaca, Massimo; Baggio, Giosuè","Signaling Games and the Evolution of Structure in Language and Music: A Reply to Ravignani and Verhoef (2018)","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00258","https://direct.mit.edu/artl/article/24/02/154-156/2893","In their commentary on our work, Ravignani and Verhoef (2018) raise concerns about two methodological aspects of our experimental paradigm (the signaling game): (1) the use of melodic signals of fixed length and duration, and (2) the fact that signals are endowed with meaning. They argue that music is hardly a semantic system and that our methodological choices may limit the capacity of our paradigm to shed light on the emergence and evolution of a number of putative musical universals. We reply that musical systems are semantic systems and that the aim of our research is not to study musical universals as such, but to compare more closely the kinds of principles that organize meaning and structure in linguistic and musical systems.","2018-05","2021-08-04 12:33:06","2021-08-04 12:33:06","2021-08-04 12:33:06","154-156","","2","24","","Artificial Life","Signaling Games and the Evolution of Structure in Language and Music","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LE5F5EKY","journalArticle","2018","Ravignani, Andrea; Verhoef, Tessa","Which Melodic Universals Emerge from Repeated Signaling Games? A Note on Lumaca and Baggio (2017)","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00259","https://direct.mit.edu/artl/article/24/02/149-153/2892","Music is a peculiar human behavior, yet we still know little as to why and how music emerged. For centuries, the study of music has been the sole prerogative of the humanities. Lately, however, music is being increasingly investigated by psychologists, neuroscientists, biologists, and computer scientists. One approach to studying the origins of music is to empirically test hypotheses about the mechanisms behind this structured behavior. Recent lab experiments show how musical rhythm and melody can emerge via the process of cultural transmission. In particular, Lumaca and Baggio (2017) tested the emergence of a sound system at the boundary between music and language. In this study, participants were given random pairs of signal-meanings; when participants negotiated their meaning and played a “game of telephone” with them, these pairs became more structured and systematic. Over time, the small biases introduced in each artificial transmission step accumulated, displaying quantitative trends, including the emergence, over the course of artificial human generations, of features resembling properties of language and music. In this Note, we highlight the importance of Lumaca and Baggio's experiment, place it in the broader literature on the evolution of language and music, and suggest refinements for future experiments. We conclude that, while psychological evidence for the emergence of proto-musical features is accumulating, complementary work is needed: Mathematical modeling and computer simulations should be used to test the internal consistency of experimentally generated hypotheses and to make new predictions.","2018-05","2021-08-04 12:33:00","2021-08-04 12:33:00","2021-08-04 12:33:00","149-153","","2","24","","Artificial Life","Which Melodic Universals Emerge from Repeated Signaling Games?","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\2UKIF7SZ\Ravignani and Verhoef - 2018 - Which Melodic Universals Emerge from Repeated Sign.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SCCQC7J","journalArticle","2018","Singh, Karandeep; Ahn, Chang-Won; Paik, Euihyun; Bae, Jang Won; Lee, Chun-Hee","A Micro-Level Data-Calibrated Agent-Based Model: The Synergy between Microsimulation and Agent-Based Modeling","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00260","https://direct.mit.edu/artl/article/24/02/128-148/2895","Artificial life (ALife) examines systems related to natural life, its processes, and its evolution, using simulations with computer models, robotics, and biochemistry. In this article, we focus on the computer modeling, or “soft,” aspects of ALife and prepare a framework for scientists and modelers to be able to support such experiments. The framework is designed and built to be a parallel as well as distributed agent-based modeling environment, and does not require end users to have expertise in parallel or distributed computing. Furthermore, we use this framework to implement a hybrid model using microsimulation and agent-based modeling techniques to generate an artificial society. We leverage this artificial society to simulate and analyze population dynamics using Korean population census data. The agents in this model derive their decisional behaviors from real data (microsimulation feature) and interact among themselves (agent-based modeling feature) to proceed in the simulation. The behaviors, interactions, and social scenarios of the agents are varied to perform an analysis of population dynamics. We also estimate the future cost of pension policies based on the future population structure of the artificial society. The proposed framework and model demonstrates how ALife techniques can be used by researchers in relation to social issues and policies.","2018-05","2021-08-04 12:32:53","2021-08-04 12:32:53","2021-08-04 12:32:53","128-148","","2","24","","Artificial Life","A Micro-Level Data-Calibrated Agent-Based Model","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBCVU9BE","journalArticle","2018","Vera, Javier","An Agent-Based Model for the Role of Short-Term Memory Enhancement in the Emergence of Grammatical Agreement","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00261","https://direct.mit.edu/artl/article/24/02/119-127/2894","What is the influence of short-term memory enhancement on the emergence of grammatical agreement systems in multi-agent language games? Agreement systems suppose that at least two words share some features with each other, such as gender, number, or case. Previous work, within the multi-agent language-game framework, has recently proposed models stressing the hypothesis that the emergence of a grammatical agreement system arises from the minimization of semantic ambiguity. On the other hand, neurobiological evidence argues for the hypothesis that language evolution has mainly related to an increasing of short-term memory capacity, which has allowed the online manipulation of words and meanings participating particularly in grammatical agreement systems. Here, the main aim is to propose a multi-agent language game for the emergence of a grammatical agreement system, under measurable long-range relations depending on the short-term memory capacity. Computer simulations, based on a parameter that measures the amount of short-term memory capacity, suggest that agreement marker systems arise in a population of agents equipped at least with a critical short-term memory capacity.","2018-05","2021-08-04 12:32:46","2021-08-04 12:32:46","2021-08-04 12:32:46","119-127","","2","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IAJBW6ER","journalArticle","2018","Egbert, Matthew D.; Pérez-Mercader, Juan","Methods for Measuring Viability and Evaluating Viability Indicators","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00257","https://direct.mit.edu/artl/article/24/02/106-118/2897","Life and other dissipative structures involve nonlinear dynamics that are not amenable to conventional analysis. Advances are being made in theory, modeling, and simulation techniques, but we do not have general principles for designing, controlling, stabilizing, or eliminating these systems. There is thus a need for tools that can transform high-level descriptions of these systems into useful guidance for their modification and design. In this article we introduce new methods for quantifying the viability of dissipative structures. We then present an information-theoretical approach for evaluating the quality of viability indicators, measurable quantities that covary with, and thus can be used to predict or influence, a system's viability.","2018-05","2021-08-04 12:32:30","2021-08-04 12:32:30","2021-08-04 12:32:30","106-118","","2","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWB427AF","journalArticle","2018","Kim, Hyobin; Sayama, Hiroki","How Criticality of Gene Regulatory Networks Affects the Resulting Morphogenesis under Genetic Perturbations","Artificial Life","","1064-5462, 1530-9185","10.1162/artl_a_00262","https://direct.mit.edu/artl/article/24/02/85-105/2900","Whereas the relationship between criticality of gene regulatory networks (GRNs) and dynamics of GRNs at a single-cell level has been vigorously studied, the relationship between the criticality of GRNs and system properties at a higher level has not been fully explored. Here we aim at revealing a potential role of criticality of GRNs in morphogenesis, which is hard to uncover through the single-cell-level studies, especially from an evolutionary viewpoint. Our model simulated the growth of a cell population from a single seed cell. All the cells were assumed to have identical intracellular GRNs. We induced genetic perturbations to the GRN of the seed cell by adding, deleting, or switching a regulatory link between a pair of genes. From numerical simulations, we found that the criticality of GRNs facilitated the formation of nontrivial morphologies when the GRNs were critical in the presence of the evolutionary perturbations. Moreover, the criticality of GRNs produced topologically homogeneous cell clusters by adjusting the spatial arrangements of cells, which led to the formation of nontrivial morphogenetic patterns. Our findings correspond to an epigenetic viewpoint that heterogeneous and complex features emerge from homogeneous and less complex components through the interactions among them. Thus, our results imply that highly structured tissues or organs in morphogenesis of multicellular organisms might stem from the criticality of GRNs.","2018-05","2021-08-04 11:33:52","2021-08-04 11:33:52","2021-08-04 11:33:52","85-105","","2","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\9FWSNYI8\Kim and Sayama - 2018 - How Criticality of Gene Regulatory Networks Affect.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3UKLENX","journalArticle","2018","Penn, Alexandra","Report on the ISAL Special Session on ALife and Society, ALife XV, Cancún, Mexico, 2016","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00249","https://direct.mit.edu/artl/article/24/1/80-84/2879","","2018-02","2021-08-04 11:32:17","2021-08-04 11:32:17","2021-08-04 11:32:17","80-84","","1","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TA6PWGFM","journalArticle","2018","Čejková, Jitka; Hanczyc, Martin M.; Štěpánek, František","Multi-Armed Droplets as Shape-Changing Protocells","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00255","https://direct.mit.edu/artl/article/24/1/71-79/2883","Protocells are objects that mimic one or several functions of biological cells and may be embodied as solid particles, lipid vesicles, or droplets. Our work is based on using decanol droplets in an aqueous solution of sodium decanoate in the presence of salt. A decanol droplet under such conditions bears many qualitative similarities with living cells, such as the ability to move chemotactically, divide and fuse, or change its shape. This article focuses on the description of a shape-changing process induced by the evaporation of water from the decanoate solution. Under these conditions, the droplets perform complex shape changes, whereby the originally round decanol droplets grow into branching patterns and mimic the growth of appendages in bacteria or axon growth of neuronal cells. We report two outcomes: (i) the morphological changes are reversible, and (ii) multiple protocells avoid contact between each other during the morphological transformation. The importance of these morphological changes in the context of artificial life are discussed.","2018-02","2021-08-04 11:32:06","2021-08-04 11:32:06","2021-08-04 11:32:06","71-79","","1","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2S6FBE5","journalArticle","2018","Hernández-Orozco, Santiago; Hernández-Quiroz, Francisco; Zenil, Hector","Undecidability and Irreducibility Conditions for Open-Ended Evolution and Emergence","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00254","https://direct.mit.edu/artl/article/24/1/56-70/2880","Is undecidability a requirement for open-ended evolution (OEE)? Using methods derived from algorithmic complexity theory, we propose robust computational definitions of open-ended evolution and the adaptability of computable dynamical systems. Within this framework, we show that decidability imposes absolute limits on the stable growth of complexity in computable dynamical systems. Conversely, systems that exhibit (strong) open-ended evolution must be undecidable, establishing undecidability as a requirement for such systems. Complexity is assessed in terms of three measures: sophistication, coarse sophistication, and busy beaver logical depth. These three complexity measures assign low complexity values to random (incompressible) objects. As time grows, the stated complexity measures allow for the existence of complex states during the evolution of a computable dynamical system. We show, however, that finding these states involves undecidable computations. We conjecture that for similar complexity measures that assign low complexity values, decidability imposes comparable limits on the stable growth of complexity, and that such behavior is necessary for nontrivial evolutionary systems. We show that the undecidability of adapted states imposes novel and unpredictable behavior on the individuals or populations being modeled. Such behavior is irreducible. Finally, we offer an example of a system, first proposed by Chaitin, that exhibits strong OEE.","2018-02","2021-08-04 11:31:58","2021-08-04 11:31:58","2021-08-04 11:31:58","56-70","","1","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\INM6QA99\Hernández-Orozco et al. - 2018 - Undecidability and Irreducibility Conditions for O.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LK4JYM6","journalArticle","2018","Agmon, Eran; Egbert, Matthew; Virgo, Nathaniel","The Biological Foundations of Enactivism: A Report on a Workshop Held at Artificial Life XV","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00253","https://direct.mit.edu/artl/article/24/1/49-55/2877","This is a report on the Biological Foundations of Enactivism Workshop, which was held as part of Artificial Life XV. The workshop aimed to revisit enactivism's contributions to biology and to revitalize the discussion of autonomy with the goal of grounding it in quantitative definitions based in observable phenomena. This report summarizes some of the important issues addressed in the workshop's talks and discussions, which include how to identify emergent individuals out of an environmental background, what the roles of autonomy and normativity are in biological theory, how new autonomous agents can spontaneously emerge at the origins of life, and what science can say about subjective experience.","2018-02","2021-08-04 11:31:48","2021-08-04 11:31:48","2021-08-04 11:31:48","49-55","","1","24","","Artificial Life","The Biological Foundations of Enactivism","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WAJCWUM4","journalArticle","2018","Harvey, Inman","Robustness and Contingent History: From Prisoner's Dilemma to Gaia Theory","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00252","https://direct.mit.edu/artl/article/24/1/29-48/2882","In both social systems and ecosystems there is a need to resolve potential conflicts between the interests of individuals and the collective interest of the community. The collective interests need to survive the turbulent dynamics of social and ecological interactions. To see how different systems with different sets of interactions have different degrees of robustness, we need to look at their different contingent histories. We analyze abstract artificial life models of such systems, and note that some prominent examples rely on explicitly ahistorical frameworks; we point out where analyses that ignore a contingent historical context can be fatally flawed. The mathematical foundations of Gaia theory are presented in a form whose very basic and general assumptions point to wide applicability across complex dynamical systems. This highlights surprising connections between robustness and accumulated contingent happenstance, regardless of whether Darwinian evolution is or is not implicated. Real-life studies highlight the role of history, and artificial life studies should do likewise.","2018-02","2021-08-04 11:31:38","2021-08-04 11:31:38","2021-08-04 11:31:38","29-48","","1","24","","Artificial Life","Robustness and Contingent History","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ARY8ZNS","journalArticle","2018","Powers, Simon T.","The Institutional Approach for Modeling the Evolution of Human Societies","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00251","https://direct.mit.edu/artl/article/24/1/10-28/2881","Artificial life is concerned with understanding the dynamics of human societies. A defining feature of any society is its institutions. However, defining exactly what an institution is has proven difficult, with authors often talking past each other. This article presents a dynamic model of institutions, which views them as political game forms that generate the rules of a group's economic interactions. Unlike most prior work, the framework presented here allows for the construction of explicit models of the evolution of institutional rules. It takes account of the fact that group members are likely to try to create rules that benefit themselves. Following from this, it allows us to determine the conditions under which self-interested individuals will create institutional rules that support cooperation—for example, that prevent a tragedy of the commons. The article finishes with an example of how a model of the evolution of institutional rewards and punishments for promoting cooperation can be created. It is intended that this framework will allow artificial life researchers to examine how human groups can themselves create conditions for cooperation. This will help provide a better understanding of historical human social evolution, and facilitate the resolution of pressing societal social dilemmas.","2018-02","2021-08-04 11:31:24","2021-08-04 11:31:24","2021-08-04 11:31:24","10-28","","1","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\UKV5WHCY\Powers - 2018 - The Institutional Approach for Modeling the Evolut.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGPW9W97","journalArticle","2018","Marriott, Chris; Borg, James M.; Andras, Peter; Smaldino, Paul E.","Social Learning and Cultural Evolution in Artificial Life","Artificial Life","","1064-5462, 1530-9185","10.1162/ARTL_a_00250","https://direct.mit.edu/artl/article/24/1/5-9/2878","We describe the questions and discussions raised at the First Workshop on Social Learning and Cultural Evolution held at theArtificial Life Conference 2016 in Cancún, Mexico in July 2016. The purpose of the workshop was to assemble artificial life researchers interested in social learning and cultural evolution into one group so that we could focus on recent work and interesting open questions. Our discussion related to both the mechanisms of social learning and cultural evolution and the consequences and influence of social learning and cultural evolution on living systems. We present the contributions of our workshop presenters and conclude with a discussion of the more important open questions in this area.","2018-02","2021-08-04 11:30:37","2021-08-04 11:30:37","2021-08-04 11:30:37","5-9","","1","24","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\AQMMNMXN\Marriott et al. - 2018 - Social Learning and Cultural Evolution in Artifici.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
